id,sku,barcode,name,url,price,currency,description_html,usage_text,warnings_text,storage_text,created_at
1,000935-A,000935-A,NOP Brokoli Broccoli Full Potency 200 Kapsül X 420 mg,https://www.sepenatural.com.tr/urun/nop-brokoli-takviye-edici-gida-200-kapsul-broccoli,789.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç karnına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:17:12
2,000123-A,000123-A,SEPE NATURAL Omega 3 Fish Oil Balık Yağı 100 Softgel Kapsül x 1330 mg,https://www.sepenatural.com.tr/urun/omega-3-balik-yagi-100-softgel-kapsul-1000-mg-yumusak-kapsul,739.99,TL,,Sepe Natural Alaska Omega3 Balık Yağı Yumuşak Kapsül Fish Oil Softgel tercihen günde 2 defa 1 kapsül yemek öncesi veya sonrası kullanılması tavsiye edilir.,"Sepe Natural Ürünlerini Oda Sıcaklığında, serin ve kuru yerde, güneş ışınlarından koruyarak, ağzı kapalı şekilde, çocukların ulaşamayacağı yerde muhafaza ediniz.","Sepe Natural Ürünlerini Oda Sıcaklığında, serin ve kuru yerde, güneş ışınlarından koruyarak, ağzı kapalı şekilde, çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:15
3,000072-A,000072-A,SEPE NATURAL Propolis Ekstresi 90 Kapsül x 400 mg,https://www.sepenatural.com.tr/urun/propolis-extract-90-kapsul-380-mg-propolis-ekstrakt-ekstresi,679.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:17
4,000014-A,000014-A,SEPE NATURAL Chitosan Kitosan 90 Kapsül x 330 mg Çitosan,https://www.sepenatural.com.tr/urun/chitosan-90-kapsul-330-mg-kitosan-citosan,689.99,TL,,"Yetişkinler için, tercihen günde iki defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç karına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:19
5,000064-A,000064-A,Milk Thistle Devedikeni Ekstresi Full Potency 90 Kapsül x 930 mg SEPE,https://www.sepenatural.com.tr/urun/milk-thistle-devedikeni-ekstresi-full-potency-90-kapsul,669.99,TL,,"Yetişkinler için, tercihen günde iki defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç karına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:21
6,000007-A,000007-A,SEPE NATURAL Artichoke Enginar Ekstresi 60 Kapsül x 380 mg,https://www.sepenatural.com.tr/urun/artichoke-extract-60-kapsul-380-mg-enginar-ekstrakt-ekstresi,559.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:22
7,000021-A,000021-A,SEPE NATURAL Epimedium Epimedyum 90 Kapsül x 430 mg Azgın Teke,https://www.sepenatural.com.tr/urun/epimedium-extract-90-kapsul-430-mg-ekstrakt,649.99,TL,,SEPE NATURAL Epimedium Epimedyum Ekstresi Kullanımı Nasıl Önerilir?,SEPE NATURAL Epimedium Epimedyum Kapsül Formdadır. Her kapsül 430 mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:24
8,000035-A,000035-A,"SEPE NATURAL Ginkgo Biloba Mabet Ağacı Ekstresi Full Potency 90 Kapsül x 400 mg Ginko, Gingko",https://www.sepenatural.com.tr/urun/ginkgo-biloba-extract-90-kapsul-ginko-ekstrakt-ekstresi,559.99,TL,,"Yetişkinler için, tercihen günde 3 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:26
9,000068-A,000068-A,"SEPE NATURAL Korean Ginseng Kore Ginseng Kök Ekstresi 90 Kapsül x 480 mg Kırmızı Ginseng, Panax",https://www.sepenatural.com.tr/urun/panax-ginseng-ekstrakt-90-kapsul-450-mg-ginseng-ekstresi-extract,599.99,TL,,"Yetişkinler için, tercihen günde 3 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:27
10,000001-A,000001-A,SEPE NATURAL 5-HTP Valerian Kedi Otu St. John's Worth Sarı Kantaron Ekstresi Kompleks 60 Kapsül x 420 mg,https://www.sepenatural.com.tr/urun/5-htp-5-hydroxytryptophan-extract-kapsul-60-x-350-mg-ekstresi,879.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:29
